"","UNQ_NO","Search.Query"
"6904",6904,"강원 해피스푼"
"6905",6905,"강원 핵밥"
"6937",6937,"강원 흥부찜닭"
"6964",6964,"충청북도 테이스티나인홈"
"6968",6968,"충청북도 가장맛있는족발"
"6972",6972,"충청북도 감탄계 숯불치킨"
"6992",6992,"충청북도 고기한끼"
"6995",6995,"충청북도 고메스테이크"
"7001",7001,"충청북도 곤트란쉐리에"
"7004",7004,"충청북도 곱창이야기"
"7044",7044,"충청북도 난바우동"
"7052",7052,"충청북도 내가찜한닭"
"7064",7064,"충청북도 니하오마라탕"
"7074",7074,"충청북도 담꾹"
"7095",7095,"충청북도 돈카춘"
"7106",7106,"충청북도 동해반점"
"7109",7109,"충청북도 두끼"
"7124",7124,"충청북도 또래오래"
"7128",7128,"충청북도 라공방"
"7137",7137,"충청북도 라화쿵부"
"7151",7151,"충청북도 마라영웅"
"7153",7153,"충청북도 마라홀릭 마라탕"
"7154",7154,"충청북도 마루샤브"
"7162",7162,"충청북도 만족오향족발"
"7166",7166,"충청북도 맛깔참죽"
"7199",7199,"충청북도 미스터보쌈5378"
"7215",7215,"충청북도 박가부대"
"7233",7233,"충청북도 뱃살도둑"
"7235",7235,"충청북도 버거비"
"7255",7255,"충청북도 봉구비어"
"7268",7268,"충청북도 브라운돈까스"
"7285",7285,"충청북도 삼백집"
"7296",7296,"충청북도 샐러디"
"7303",7303,"충청북도 샤오바오"
"7328",7328,"충청북도 숙성회136"
"7342",7342,"충청북도 시올돈"
"7347",7347,"충청북도 신의주찹쌀순대"
"7367",7367,"충청북도 아이스걸크림보이"
"7370",7370,"충청북도 알촌"
"7372",7372,"충청북도 압구정 순대국"
"7381",7381,"충청북도 에그드랍"
"7382",7382,"충청북도 에그셀런트"
"7387",7387,"충청북도 여우애 김밥"
"7397",7397,"충청북도 오니기리와이규동"
"7406",7406,"충청북도 오븐에빠진닭"
"7409",7409,"충청북도 오징어나라"
"7421",7421,"충청북도 완미족발"
"7428",7428,"충청북도 용궁반점"
"7430",7430,"충청북도 용호동낙지"
"7432",7432,"충청북도 우리동네 생고기 무한리필"
"7435",7435,"충청북도 우성반점"
"7455",7455,"충청북도 응급실국물떡볶이"
"7487",7487,"충청북도 제일제면소"
"7492",7492,"충청북도 종로계림닭도리탕원조"
"7512",7512,"충청북도 찌마기"
"7519",7519,"충청북도 채선당"
"7521",7521,"충청북도 처갓집양념치킨"
